driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
235,11,PER,Sergio Pérez,2012,13,Italian Grand Prix,65,9,0,872
236,27,HUL,Nico Hülkenberg,2012,13,Italian Grand Prix,31,14,0,872
237,27,HUL,Nico Hülkenberg,2012,14,Singapore Grand Prix,31,14,0,873
238,11,PER,Sergio Pérez,2012,14,Singapore Grand Prix,66,9,0,873
239,14,ALO,Fernando Alonso,2012,14,Singapore Grand Prix,194,1,3,873
240,27,HUL,Nico Hülkenberg,2012,15,Japanese Grand Prix,37,14,0,874
241,11,PER,Sergio Pérez,2012,15,Japanese Grand Prix,66,10,0,874
242,14,ALO,Fernando Alonso,2012,15,Japanese Grand Prix,194,1,3,874
243,44,HAM,Lewis Hamilton,2012,15,Japanese Grand Prix,152,4,3,874
244,44,HAM,Lewis Hamilton,2012,14,Singapore Grand Prix,142,4,3,873
245,44,HAM,Lewis Hamilton,2012,18,Abu Dhabi Grand Prix,165,5,3,877
246,14,ALO,Fernando Alonso,2012,18,Abu Dhabi Grand Prix,245,2,3,877
247,11,PER,Sergio Pérez,2012,18,Abu Dhabi Grand Prix,66,10,0,877
248,27,HUL,Nico Hülkenberg,2012,18,Abu Dhabi Grand Prix,49,12,0,877
249,44,HAM,Lewis Hamilton,2012,19,United States Grand Prix,190,4,4,878
250,14,ALO,Fernando Alonso,2012,19,United States Grand Prix,260,2,3,878
251,11,PER,Sergio Pérez,2012,19,United States Grand Prix,66,10,0,878
252,27,HUL,Nico Hülkenberg,2012,19,United States Grand Prix,53,12,0,878
253,44,HAM,Lewis Hamilton,2012,20,São Paulo Grand Prix,190,4,4,879
254,14,ALO,Fernando Alonso,2012,20,São Paulo Grand Prix,278,2,3,879
255,11,PER,Sergio Pérez,2012,20,São Paulo Grand Prix,66,10,0,879
256,27,HUL,Nico Hülkenberg,2012,20,São Paulo Grand Prix,63,11,0,879
257,14,ALO,Fernando Alonso,2013,1,Australian Grand Prix,18,2,0,880
258,44,HAM,Lewis Hamilton,2013,1,Australian Grand Prix,10,5,0,880
259,11,PER,Sergio Pérez,2013,1,Australian Grand Prix,0,11,0,880
260,77,BOT,Valtteri Bottas,2013,1,Australian Grand Prix,0,14,0,880
261,27,HUL,Nico Hülkenberg,2013,1,Australian Grand Prix,0,22,0,880
