constructorStandingsId,Constructor_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
413,McLaren,1987,9,Hungarian Grand Prix,49,2,2,396
414,Williams,1987,9,Hungarian Grand Prix,78,1,5,396
415,Ferrari,1987,9,Hungarian Grand Prix,17,4,0,396
416,McLaren,1987,10,Austrian Grand Prix,50,2,2,397
417,Williams,1987,10,Austrian Grand Prix,93,1,6,397
418,Ferrari,1987,10,Austrian Grand Prix,17,4,0,397
419,McLaren,1987,11,Italian Grand Prix,51,3,2,398
420,Williams,1987,11,Italian Grand Prix,106,1,7,398
421,Ferrari,1987,11,Italian Grand Prix,20,4,0,398
422,McLaren,1987,14,Mexico City Grand Prix,72,2,3,401
423,Williams,1987,14,Mexico City Grand Prix,137,1,9,401
424,Ferrari,1987,14,Mexico City Grand Prix,26,4,0,401
425,McLaren,1987,15,Japanese Grand Prix,76,2,3,402
426,Williams,1987,15,Japanese Grand Prix,137,1,9,402
427,Ferrari,1987,15,Japanese Grand Prix,38,4,1,402
428,McLaren,1988,2,Emilia Romagna Grand Prix,24,1,2,373
429,Ferrari,1988,2,Emilia Romagna Grand Prix,10,2,0,373
430,Williams,1988,2,Emilia Romagna Grand Prix,0,10,0,373
431,McLaren,1988,3,Monaco Grand Prix,33,1,3,374
432,Ferrari,1988,3,Monaco Grand Prix,20,2,0,374
