Driver_name,GrandPrix_name,0
Valtteri Bottas,United States Grand Prix,104989.84708737864
Yuki Tsunoda,Abu Dhabi Grand Prix,92916.56896551725
Yuki Tsunoda,Australian Grand Prix,92506.29824561403
Yuki Tsunoda,Austrian Grand Prix,72105.65714285715
Yuki Tsunoda,Azerbaijan Grand Prix,135424.1683168317
Yuki Tsunoda,Bahrain Grand Prix,101624.41592920353
Yuki Tsunoda,Belgian Grand Prix,122078.02222222222
Yuki Tsunoda,British Grand Prix,149005.48076923078
Yuki Tsunoda,Canadian Grand Prix,81896.63829787234
Yuki Tsunoda,Dutch Grand Prix,79828.78021978022
Yuki Tsunoda,Emilia Romagna Grand Prix,89844.47899159664
Yuki Tsunoda,Hungarian Grand Prix,98461.90579710146
Yuki Tsunoda,Italian Grand Prix,92862.90384615384
Yuki Tsunoda,Japanese Grand Prix,134985.82142857142
Yuki Tsunoda,Mexico City Grand Prix,85627.0
Yuki Tsunoda,Miami Grand Prix,100077.26315789473
Yuki Tsunoda,Monaco Grand Prix,93096.33571428571
Yuki Tsunoda,Qatar Grand Prix,117821.93650793651
Yuki Tsunoda,Saudi Arabian Grand Prix,155069.3673469388
Yuki Tsunoda,Singapore Grand Prix,130380.0294117647
Yuki Tsunoda,Spanish Grand Prix,89863.3661971831
Yuki Tsunoda,São Paulo Grand Prix,82528.55
Yuki Tsunoda,United States Grand Prix,107321.50450450451
